iata_id,agency,city,country,region,continent,vehicle_id,trip_id,route_id,latitude,longitude,datetime,duration
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3211,3117088,39,44.66106033325195,-63.66228103637695,1750556732,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4017,3121632,7A,44.67168045043945,-63.612308502197266,1750557117,603
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3109,3121255,72,44.71434020996094,-63.569480895996094,1750557123,120
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4024,3116591,30B,44.660831451416016,-63.6628303527832,1750557461,241
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3211,3117088,39,44.66107177734375,-63.66228103637695,1750557486,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3298,3120426,67,44.6844596862793,-63.55863952636719,1750557491,603
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3402,3119687,61,44.66984176635742,-63.505619049072266,1750557501,602
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2756,3124702,9B,44.64413833618164,-63.58308029174805,1750557502,151
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3263,3115929,3,44.66072082519531,-63.663028717041016,1750557509,242
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3364,3123048,84,44.708248138427734,-63.62274932861328,1750557512,723
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3283,3117910,5,44.67005920410156,-63.5058708190918,1750557533,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3271,3118805,54,44.67028045654297,-63.57350158691406,1750557534,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2741,3113933,2,44.66115951538086,-63.66239929199219,1750557574,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3357,3117966,5,44.65108108520508,-63.57619094848633,1750557589,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4022,3122053,7B,44.67161178588867,-63.612281799316406,1750557641,271
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3298,3120426,67,44.67073822021485,-63.537750244140625,1750558426,211
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2756,3124684,9B,44.64413833618164,-63.58308029174805,1750558436,2427
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3343,3114546,22,44.62969970703125,-63.66883087158203,1750558689,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4003,3121634,7A,44.671669006347656,-63.612300872802734,1750559278,813
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4008,3122054,7B,44.67158126831055,-63.612300872802734,1750559282,120
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3409,3115967,3,44.69887161254883,-63.60755157470703,1750559424,571
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3248,3115580,29,44.64799118041992,-63.620399475097656,1750559529,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3394,3112182,1,44.647850036621094,-63.62044143676758,1750559600,150
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3337,3113934,2,44.66086959838867,-63.66270065307617,1750559604,91
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3283,3117967,5,44.65102005004883,-63.576210021972656,1750559613,392
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3337,3113934,2,44.66088104248047,-63.662689208984375,1750559785,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3330,3115317,28,44.66067886352539,-63.663330078125,1750559802,89
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2531,3116773,320,44.67013168334961,-63.57400894165039,1750559804,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4022,3122110,7B,44.65061950683594,-63.575931549072266,1750559930,120
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3409,3115933,3,44.69401931762695,-63.58314895629883,1750560836,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2531,3116773,320,44.80278015136719,-63.59748840332031,1750560920,61
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4003,3121583,7A,44.65045166015625,-63.57569885253906,1750561026,61
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3270,3119137,56,44.69892120361328,-63.607521057128906,1750561635,302
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2756,3124704,9B,44.64413833618164,-63.58308029174805,1750561647,453
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3413,3112108,1,44.6702995300293,-63.57355880737305,1750561653,120
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3377,3113993,2,44.64936065673828,-63.57292938232422,1750561655,120
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3283,3117913,5,44.670021057128906,-63.505889892578125,1750562117,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3283,3117913,5,44.67002868652344,-63.505889892578125,1750562599,302
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3270,3119137,56,44.69889831542969,-63.607521057128906,1750563143,91
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2755,3113936,2,44.66083908081055,-63.66353988647461,1750563144,181
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3231,3124810,ecrl,44.62974166870117,-63.66883087158203,1750564889,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3283,3117970,5,44.65105056762695,-63.57619094848633,1750564892,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3357,3124818,ecs,44.69403076171875,-63.58309173583984,1750566456,212
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3287,3120897,6B,44.62678146362305,-63.51539993286133,1750579942,89
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3194,3124821,ecs,44.647830963134766,-63.62044906616211,1750581025,211
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2533,3116795,320,44.67015075683594,-63.574031829833984,1750581268,151
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3287,3120877,6B,44.65362930297851,-63.54850006103515,1750581571,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2738,3124724,9B,44.62928009033203,-63.66984939575195,1750582033,242
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3287,3120877,6B,44.6710205078125,-63.5748405456543,1750582355,1931
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3286,3120898,6B,44.67094039916992,-63.574928283691406,1750582711,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3221,3114875,24,44.595760345458984,-63.63605880737305,1750582715,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3287,3120877,6B,44.6710205078125,-63.5748291015625,1750583682,181
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3194,3123406,86,44.76803970336914,-63.69847869873047,1750583708,89
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4053,3114621,22,44.6478385925293,-63.62042999267578,1750584349,452
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2753,3112254,1,44.64773178100586,-63.62038040161133,1750584689,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3194,3123406,86,44.849029541015625,-63.68547821044922,1750584703,120
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3282,3113996,2,44.66048812866211,-63.663448333740234,1750584705,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3388,3121674,7A,44.67169952392578,-63.61233139038086,1750585309,602
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3255,3123616,87,44.67013931274414,-63.57353973388672,1750585527,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3370,3115646,29,44.62580871582031,-63.574371337890625,1750585825,84
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4053,3114585,22,44.62971878051758,-63.66888046264648,1750585826,571
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3243,3114622,22,44.647708892822266,-63.620338439941406,1750585863,121
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3303,3119399,58,44.66984176635742,-63.505489349365234,1750586253,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2745,3124705,9B,44.57059860229492,-63.568939208984375,1750586264,151
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3342,3115972,3,44.661128997802734,-63.66292190551758,1750586271,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3282,3113996,2,44.660648345947266,-63.6633415222168,1750586273,91
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3388,3121674,7A,44.67169952392578,-63.61231994628906,1750586273,150
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3287,3121090,6C,44.61711883544922,-63.46372985839844,1750586276,151
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3306,3113096,10C,44.63669967651367,-63.58975982666016,1750586280,91
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3228,3114911,24,44.59539031982422,-63.63663101196289,1750586291,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3286,3120878,6B,44.67024993896485,-63.57350158691406,1750586300,91
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3162,3115645,29,44.65488815307617,-63.6279182434082,1750586385,121
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3265,3117654,401,44.734981536865234,-63.28657150268555,1750586926,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3265,3117654,401,44.734989166259766,-63.28657150268555,1750587258,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3285,3122513,8,44.75442886352539,-63.66307067871094,1750587262,91
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3286,3120878,6B,44.67026138305664,-63.573509216308594,1750587266,724
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3290,3122550,8,44.658939361572266,-63.60139083862305,1750587266,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3293,3120459,67,44.64894104003906,-63.54798126220703,1750587416,181
