iata_id,agency,city,country,region,continent,vehicle_id,trip_id,route_id,latitude,longitude,datetime,duration
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3254,3121318,72,44.669830322265625,-63.50543975830078,1748825057,120
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3254,3121318,72,44.66981887817383,-63.50545120239258,1748825600,423
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3254,3121318,72,44.66981887817383,-63.50545883178711,1748825841,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3242,3115672,29,44.65578079223633,-63.62776184082031,1748826539,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3318,3112818,10B,44.68526840209961,-63.56074142456055,1748826540,512
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3396,3112789,10B,44.636749267578125,-63.58980941772461,1748827318,211
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3242,3115672,29,44.65576171875,-63.62778091430664,1748827414,422
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3259,3120457,67,44.649410247802734,-63.54811096191406,1748827464,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3327,3114908,24,44.595760345458984,-63.63605880737305,1748827467,151
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3277,3117122,39,44.66070938110352,-63.66304016113281,1748827469,242
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3209,3114616,22,44.62969970703125,-63.66883850097656,1748827488,211
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3396,3112789,10B,44.636749267578125,-63.58980178833008,1748827599,121
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3159,3116369,30A,44.66078186035156,-63.66284942626953,1748827601,121
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3360,3121085,6C,44.67123031616211,-63.57427978515625,1748827662,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3209,3114616,22,44.62968826293945,-63.66883850097656,1748827970,121
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2531,3116812,320,44.67012023925781,-63.57402038574219,1748827970,121
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3360,3120915,6B,44.67079162597656,-63.57501983642578,1748828628,272
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3331,3114036,2,44.66115951538086,-63.66238021850586,1748828647,543
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3286,3114357,21,44.66106033325195,-63.662349700927734,1748829100,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3360,3120915,6B,44.670501708984375,-63.575069427490234,1748829110,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3283,3116055,3,44.69868850708008,-63.607421875,1748829361,423
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3396,3112789,10B,44.67057037353515,-63.5748291015625,1748829365,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3307,3116011,3,44.6611213684082,-63.66294860839844,1748829591,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3307,3116011,3,44.661109924316406,-63.662940979003906,1748829772,89
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3152,3112314,1,44.64786911010742,-63.620479583740234,1748829849,121
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3186,3112819,10B,44.685298919677734,-63.560760498046875,1748830043,332
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2534,3116813,320,44.64937973022461,-63.583221435546875,1748830046,89
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3161,3122145,7B,44.671600341796875,-63.612308502197266,1748830047,180
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3161,3122145,7B,44.671600341796875,-63.61231994628906,1748830409,573
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3396,3112790,10B,44.6367301940918,-63.58980941772461,1748830957,181
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3330,3114618,22,44.62969970703125,-63.668819427490234,1748831058,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3408,3114909,24,44.64841842651367,-63.62131881713867,1748831059,120
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3360,3120915,6B,44.60710906982422,-63.46957015991211,1748831070,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3222,3117442,4,44.66075134277344,-63.66304016113281,1748831121,121
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2534,3116813,320,44.670108795166016,-63.573978424072266,1748831856,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3408,3114909,24,44.6331901550293,-63.58086013793945,1748832111,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3396,3112790,10B,44.65068054199219,-63.575809478759766,1748832311,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3167,3122545,8,44.767818450927734,-63.6993293762207,1748832322,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3206,3124741,9B,44.65087127685547,-63.575828552246094,1748832325,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3167,3122545,8,44.76784133911133,-63.6993293762207,1748832503,724
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3360,3120895,6B,44.6711311340332,-63.574981689453125,1748832849,150
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3163,3116057,3,44.69887924194336,-63.60750961303711,1748833075,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3330,3115644,29,44.65576934814453,-63.62771987915039,1748833169,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3396,3112791,10B,44.636749267578125,-63.589839935302734,1748834445,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3396,3112791,10B,44.63676071166992,-63.58982849121094,1748834686,91
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3411,3113589,182,44.63042068481445,-63.66939163208008,1748850898,392
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3358,3119721,61,44.70415115356445,-63.46683120727539,1748852424,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3342,3120723,6A,44.64902877807617,-63.54817962646485,1748852427,151
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3366,3116371,30A,44.66082000732422,-63.66276931762695,1748852663,393
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3303,3119567,59,44.66992950439453,-63.50555038452149,1748852737,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3303,3119567,59,44.66965866088867,-63.50553131103515,1748853340,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3348,3117661,401,44.735050201416016,-63.2866096496582,1748853625,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3223,3119723,61,44.669700622558594,-63.50542068481445,1748854571,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3334,3113251,123,44.65975189208984,-63.74003982543945,1748854582,121
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3286,3120324,65,44.66997146606445,-63.50550842285156,1748854593,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3316,3114086,2,44.661041259765625,-63.66236877441406,1748855617,181
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3316,3114086,2,44.66067886352539,-63.6633415222168,1748855979,120
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3393,3113310,135,44.67298126220703,-63.64434814453125,1748856006,120
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3404,3123791,88,44.76789093017578,-63.69895935058594,1748856163,121
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3294,3116408,30A,44.660919189453125,-63.66286849975586,1748856264,163
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2526,3116836,320,44.802791595458984,-63.597450256347656,1748856277,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3364,3121137,6C,44.61714172363281,-63.463748931884766,1748856335,121
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3294,3116408,30A,44.66093063354492,-63.66286849975586,1748856596,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3256,3124250,91,44.64839172363281,-63.621341705322266,1748856700,181
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3329,3122934,83,44.76800155639648,-63.69820022583008,1748857153,543
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3289,3123634,87,44.67081832885742,-63.57522964477539,1748857173,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3349,3122639,8,44.767860412597656,-63.699249267578125,1748857466,60
