iata_id,agency,city,country,region,continent,vehicle_id,trip_id,route_id,latitude,longitude,datetime,duration
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3397,3796525,87,44.76803970336914,-63.69837951660156,1756729105,61
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3192,3793230,65,44.64813995361328,-63.476341247558594,1756729108,392
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3376,3788606,29,44.62582015991211,-63.57434844970703,1756729108,121
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3109,3795991,84,44.693458557128906,-63.58457946777344,1756729109,392
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3348,3788344,28,44.646141052246094,-63.62181091308594,1756729294,119
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3275,3795438,8,44.76802062988281,-63.6987190246582,1756729425,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3339,3788965,3,44.69847106933594,-63.60723876953125,1756729454,271
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4028,3790405,4,44.661258697509766,-63.662750244140625,1756729562,150
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3386,3793802,6B,44.67033004760742,-63.57371139526367,1756729570,121
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3372,3787904,24,44.595420837402344,-63.63663101196289,1756729588,391
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4008,3789007,3,44.6986083984375,-63.60734939575195,1756729722,241
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3275,3795438,8,44.76789093017578,-63.69921112060547,1756729817,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3192,3793230,65,44.67089080810547,-63.50762176513672,1756729832,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2753,3785183,1,44.670501708984375,-63.57405090332031,1756729934,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2738,3786988,2,44.660980224609375,-63.66252899169922,1756730068,241
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3343,3792197,56,44.698829650878906,-63.607460021972656,1756730141,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3121,3791960,55,44.6709098815918,-63.573509216308594,1756730207,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3343,3792197,56,44.69881820678711,-63.607460021972656,1756730231,362
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2760,3785247,1,44.647911071777344,-63.62044906616211,1756730235,91
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3398,3796526,87,44.670841217041016,-63.57527160644531,1756730258,151
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2734,3785248,1,44.64773941040039,-63.620361328125,1756730297,121
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3308,3790082,39,44.670379638671875,-63.573699951171875,1756730308,91
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3398,3796526,87,44.670841217041016,-63.57526016235352,1756730469,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3292,3786083,10C,44.66994094848633,-63.57727813720703,1756730527,89
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3308,3790082,39,44.67039108276367,-63.57368087768555,1756731001,150
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4008,3790438,4,44.66096878051758,-63.66244125366211,1756731079,182
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2734,3785248,1,44.647918701171875,-63.620479583740234,1756731232,271
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3348,3788344,28,44.660888671875,-63.6627082824707,1756731285,150
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3188,3796349,86,44.77140045166016,-63.6927604675293,1756731406,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3319,3788964,3,44.66115188598633,-63.66294860839844,1756731713,89
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3347,3785749,10B,44.68537139892578,-63.560829162597656,1756731787,181
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3211,3797136,91,44.64841079711914,-63.62139129638672,1756731909,120
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3333,3794229,72,44.68442153930664,-63.58903121948242,1756732220,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2732,3795443,8,44.649898529052734,-63.57542037963867,1756732324,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2753,3785250,1,44.64788818359375,-63.62049102783203,1756732346,332
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4020,3796334,86,44.76802062988281,-63.69852828979492,1756732394,301
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3376,3788639,29,44.65531921386719,-63.627838134765625,1756732477,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3357,3788113,25,44.64796829223633,-63.620399475097656,1756732480,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3347,3785749,10B,44.685359954833984,-63.560829162597656,1756732481,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3364,3790437,4,44.636619567871094,-63.5897102355957,1756732490,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3355,3796527,87,44.67084884643555,-63.5744514465332,1756732493,513
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3376,3788639,29,44.655311584472656,-63.62784957885742,1756732598,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3384,3790098,39,44.66062927246094,-63.6639404296875,1756732604,240
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3376,3788639,29,44.655311584472656,-63.627838134765625,1756732928,120
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3357,3797123,91,44.64488983154297,-63.62110900878906,1756733204,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4028,3787333,21,44.66128158569336,-63.6627082824707,1756733210,331
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3355,3796527,87,44.67103958129883,-63.57461929321289,1756733217,452
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3367,3795992,84,44.65103912353515,-63.576148986816406,1756733220,91
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2718,3785251,1,44.64775848388672,-63.62038040161133,1756733267,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3211,3787580,22,44.62969970703125,-63.66883850097656,1756733327,302
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3367,3795992,84,44.651031494140625,-63.576148986816406,1756733491,91
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3357,3797123,91,44.64488983154297,-63.62110137939453,1756733505,120
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3272,3785750,10B,44.685298919677734,-63.5607795715332,1756733581,331
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3211,3787580,22,44.62968826293945,-63.66883850097656,1756733628,241
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3277,3795441,8,44.76797866821289,-63.69820022583008,1756733777,331
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4008,3790438,4,44.636749267578125,-63.58985137939453,1756733884,91
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3333,3794229,72,44.66967010498047,-63.505401611328125,1756733939,90
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3333,3794229,72,44.66967010498047,-63.505409240722656,1756734210,694
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3272,3785750,10B,44.685279846191406,-63.560768127441406,1756734215,150
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4008,3790438,4,44.636741638183594,-63.58985137939453,1756734245,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3277,3795441,8,44.76797866821289,-63.698219299316406,1756734258,692
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3109,3788363,28,44.66102981567383,-63.66236877441406,1756734267,181
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3192,3793540,68,44.67002868652344,-63.50566101074219,1756734326,151
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3272,3785750,10B,44.6852912902832,-63.560768127441406,1756734366,453
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3397,3795827,83,44.76802062988281,-63.6981086730957,1756734403,813
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3166,3786992,2,44.66083908081055,-63.6627082824707,1756734403,121
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3211,3787618,22,44.64765167236328,-63.62028884887695,1756734834,91
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3277,3795441,8,44.76797866821289,-63.6982307434082,1756734860,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3152,3787352,21,44.65607070922851,-63.746131896972656,1756734870,241
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3364,3790408,4,44.66069030761719,-63.66313934326172,1756734872,61
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3397,3795827,83,44.76802062988281,-63.69810104370117,1756734946,1326
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3192,3793525,68,44.67103958129883,-63.50149917602539,1756734959,452
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3372,3787907,24,44.595401763916016,-63.63665008544922,1756735160,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3277,3795441,8,44.76797103881836,-63.698211669921875,1756735161,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3384,3787038,2,44.64949035644531,-63.57291030883789,1756735164,120
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2738,3786993,2,44.66127014160156,-63.66268157958984,1756735166,60
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,4020,3796350,86,44.76789093017578,-63.698951721191406,1756735169,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3364,3790408,4,44.66069030761719,-63.66315078735352,1756735174,59
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,2760,3785253,1,44.64794158935547,-63.62038040161133,1756735181,91
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3211,3787618,22,44.64781951904297,-63.620391845703125,1756735227,513
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3109,3788363,28,44.66101837158203,-63.66236114501953,1756735262,151
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3319,3789603,30B,44.660430908203125,-63.66360092163086,1756735302,121
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3333,3791006,5,44.67066955566406,-63.506080627441406,1756735326,89
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3153,3790647,401,44.67021179199219,-63.50558853149414,1756735329,242
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3272,3785781,10B,44.67026138305664,-63.574249267578125,1756735361,211
YHZ,Halifax Transit,Halifax,Canada,Canada East,North America,3271,3792696,61,44.66962814331055,-63.50550079345703,1756735469,119
